SanJuanBautista: Paradero1
Paradero1: VictorMelasquez
VictorMelasquez: Sauces
Sauces: Madreselvas
Madreselvas: Naplo
Naplo: LaPunta
LaPunta: Mónaco
Mónaco: ElSol
ElSol: RinconadaDelLago
RinconadaDelLago: LagunaGrande
LagunaGrande: Quesada
Quesada: MolicentroRicardoElías
MolicentroRicardoElías: Centenario
Centenario: OvaloHuarochiri
OvaloHuarochiri: FloraTristán
FloraTristán: Ingenieros
Ingenieros: LaMolina
LaMolina: Camacho
Camacho: ClínicaSanFelipe
ClínicaSanFelipe: LaFloresta
LaFloresta: Evitamiento
Evitamiento: Circunvalación
Circunvalación: JiménezBorja
JiménezBorja: RosaToro
RosaToro: SanLuis
SanLuis: Aviación
Aviación: GuardiaCivil
GuardiaCivil: Quiñones
Quiñones: Masías
Masías: Orquideas
Orquideas: PetitThouars
PetitThouars: Arenales
Arenales: LasPalmeras
LasPalmeras: LosNogales
LosNogales: Pershing
Pershing: Salaverry
Salaverry: GregorioEscobedo
GregorioEscobedo: HospitalMilitar
HospitalMilitar: Sucre
Sucre: BartoloméHerrera
BartoloméHerrera: Universitaria
Universitaria: MetroLaMarina
MetroLaMarina: RafaelEscardo
RafaelEscardo: Contisuyo
SantaMaría: ChanChan
ChanChan: JironLasVascongadas
JironLasVascongadas: Castilla
Castilla: PaseoDeAguas
PaseoDeAguas: ElBosque
ElBosque: FacultadDeDerecho
FacultadDeDerecho: FacultadDeMedicina
FacultadDeMedicina: LosBambúes
LosBambúes: LosSauces
LosSauces: Ciam
Ciam: MinisterioDeAgricultura
MinisterioDeAgricultura: LaMolina
LaMolina: LosFrutales
LosFrutales: Camacho
Camacho: ClínicaSanFelipe
ClínicaSanFelipe: LaFloresta
LaFloresta: Evitamiento
Evitamiento: Circunvalación
Circunvalación: JiménezBorja
JiménezBorja: RosaToro
RosaToro: SanLuis
SanLuis: Aviación
Aviación: GuardiaCivil
GuardiaCivil: Quiñones
Quiñones: Masías
Masías: Orquideas
Orquideas: PetitThouars
PetitThouars: Arenales
Arenales: LasPalmeras
LasPalmeras: LosNogales
LosNogales: Pershing
Pershing: Salaverry
Salaverry: GregorioEscobedo
GregorioEscobedo: HospitalMilitar
HospitalMilitar: Sucre
Sucre: BartoloméHerrera
BartoloméHerrera: Universitaria
Universitaria: LaMar
LaMar: Católica
Católica: SanMarcos
Ceres: Berlín
Berlín: Holanda
Holanda: VistaAlegre
VistaAlegre: Monaco
Monaco: París
París: Monumental
Monumental: OvaloHuarochirí
OvaloHuarochirí: Constructores
Constructores: FloraTristán
FloraTristán: Ingenieros
Ingenieros: Industriales
Industriales: LaMolina
LaMolina: Metro
Metro: LosFrutales
LosFrutales: Camacho
Camacho: ClínicaSanFelipe
ClínicaSanFelipe: LaFloresta
LaFloresta: Evitamiento
Evitamiento: Circunvalación
Circunvalación: JiménezBorja
JiménezBorja: RosaToro
RosaToro: SanLuis
SanLuis: Aviacion
Aviacion: GuardiaCivil
GuardiaCivil: Quiñones
Quiñones: Masías
Masías: Orquideas
Orquideas: PetitThouars
PetitThouars: Arenales
Arenales: LasPalmeras
LasPalmeras: LosNogales
LosNogales: Pershing
Pershing: Salaverry
Salaverry: GregorioEscobedo
GregorioEscobedo: HospitalMilitar
HospitalMilitar: Sucre
Sucre: BartoloméHerrera
BartoloméHerrera: Universitaria
Universitaria: LaMar
LaMar: Católica
Católica: SanMarcos
Mascaypacha: Cusihuallar
Cusihuallar: Yanaoca
Yanaoca: Huatanay
Huatanay: Muquiyauyos
Muquiyauyos: Indoamérica
Indoamérica: Tiahuanaco
Tiahuanaco: Túpac_Amaru
Túpac_Amaru: Estación_Naranjal
Estación_Naranjal: Unger
Unger: Hospital_Los_Olivos
Hospital_Los_Olivos: Tres_Postes
Tres_Postes: Villasol
Villasol: Yanbal
